fold,train_n,test_n,test_win_prob,test_gross_r,test_net_r,test_pf
1,20000,28,0.5714,0.12,-0.08,1.36
2,40000,22,0.4545,-0.27,-0.59,0.49
3,60000,34,0.3529,-0.15,-0.31,0.65
4,80000,32,0.5625,0.08,-0.08,1.28
