instrument,feature_name,horizon,sample_count,pearson_r,raw_p_value,fdr_adjusted_p_value,is_fdr_significant,train_ic,val_ic,oos_ic,oos_net_expectancy,classification
EURUSD,cme_vol_surge,5M,499,-0.0399,0.44233,1.0,False,-0.0616,0.0818,-0.0788,-0.00029,B = Promising but insufficient evidence
XAUUSD,cme_vol_accel,30M,499,0.0181,0.7218,1.0,False,0.0432,-0.0216,-0.0701,-0.00021,B = Promising but insufficient evidence
EURUSD,cme_vol_accel,5M,499,-0.0105,0.83563,1.0,False,-0.0426,0.1843,-0.0673,-0.00029,B = Promising but insufficient evidence
XAUUSD,cme_vol_surge,4H,499,0.0908,0.10696,0.8022,False,0.1691,-0.1571,0.0492,-9e-05,B = Promising but insufficient evidence
XAUUSD,cme_vol_surge,1M,499,0.0569,0.28477,1.0,False,0.0715,0.0707,-0.0486,-0.00029,B = Promising but insufficient evidence
XAUUSD,cme_vol_surge,1H,499,0.0244,0.63344,1.0,False,0.1204,-0.2262,-0.0438,-0.00021,B = Promising but insufficient evidence
XAUUSD,cme_vol_surge,30M,499,0.0693,0.20131,0.92912,False,0.1074,-0.03,0.0417,-0.00024,B = Promising but insufficient evidence
XAUUSD,cme_vol_accel,4H,499,0.0628,0.24205,1.0,False,0.1298,-0.1167,-0.019,-0.00022,B = Promising but insufficient evidence
EURUSD,macro_nfp_window,1M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
EURUSD,macro_nfp_window,5M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
EURUSD,macro_nfp_window,15M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
EURUSD,macro_nfp_window,30M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
EURUSD,macro_nfp_window,1H,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
EURUSD,macro_nfp_window,4H,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
EURUSD,macro_cpi_window,1M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
EURUSD,macro_cpi_window,5M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
EURUSD,macro_cpi_window,15M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
EURUSD,macro_cpi_window,30M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
EURUSD,macro_cpi_window,1H,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
