symbol,state_name,horizon,sample_size,frequency_pct,avg_fwd_return,volatility,win_probability,prob_reach_1r,prob_reach_2r,gross_expectancy_r,net_expectancy_r,profit_factor,classification
EURUSD,LOW_VOLATILITY,240M,765,76.7,-1e-05,0.00131,0.4876,0.0928,0.0209,-0.01,-0.24,0.99,D = No state conditional edge
NAS100,TRENDING_BULLISH,60M,25,2.5,-0.00089,0.00506,0.44,0.52,0.24,-0.18,-0.24,0.65,D = No state conditional edge
NAS100,RANGING,60M,24,2.4,-0.00109,0.00571,0.4167,0.5833,0.3333,-0.19,-0.24,0.62,D = No state conditional edge
XAUUSD,LOW_VOLATILITY,15M,735,73.5,-3e-05,0.00132,0.4844,0.0816,0.0109,-0.02,-0.25,0.94,D = No state conditional edge
XAUUSD,SESSION_TRANSITION,15M,179,17.9,-8e-05,0.0015,0.5084,0.1453,0.0279,-0.05,-0.25,0.87,D = No state conditional edge
XAUUSD,TRENDING_BEARISH,240M,17,1.7,-0.00089,0.00472,0.5294,0.7647,0.5882,-0.19,-0.25,0.65,D = No state conditional edge
GBPUSD,VOLATILITY_EXPANSION,240M,33,3.3,-9e-05,0.00151,0.4545,0.1818,0.0,-0.06,-0.26,0.84,D = No state conditional edge
NAS100,TRENDING_BEARISH,60M,25,2.5,-0.00121,0.00563,0.44,0.52,0.24,-0.21,-0.27,0.53,D = No state conditional edge
XAUUSD,VOLATILITY_COMPRESSION,5M,5,0.5,0.0001,0.00071,0.6,0.0,0.0,0.14,-0.28,1.39,D = No state conditional edge
EURUSD,SESSION_TRANSITION,240M,164,16.4,-0.00015,0.00155,0.4207,0.1646,0.0183,-0.1,-0.29,0.77,D = No state conditional edge
XAUUSD,TRENDING_BEARISH,1M,17,1.7,0.00012,0.00061,0.6471,0.0588,0.0,0.2,-0.3,1.67,D = No state conditional edge
XAUUSD,TRENDING_BULLISH,15M,20,2.0,-0.0002,0.00168,0.5,0.2,0.05,-0.12,-0.3,0.75,D = No state conditional edge
GBPUSD,VOLATILITY_EXPANSION,60M,33,3.3,1e-05,0.00094,0.4848,0.0606,0.0,0.01,-0.31,1.02,D = No state conditional edge
GBPUSD,SESSION_TRANSITION,60M,170,17.0,3e-05,0.00087,0.4294,0.0647,0.0118,0.03,-0.31,1.11,D = No state conditional edge
NAS100,TRENDING_BEARISH,15M,25,2.5,-0.00072,0.00314,0.44,0.36,0.08,-0.23,-0.32,0.52,D = No state conditional edge
XAUUSD,TRENDING_BULLISH,5M,20,2.0,-0.00012,0.00128,0.4,0.05,0.0,-0.09,-0.33,0.78,D = No state conditional edge
NAS100,RANGING,1M,24,2.4,-3e-05,0.001,0.5,0.0417,0.0,-0.03,-0.33,0.91,D = No state conditional edge
NAS100,VOLATILITY_COMPRESSION,5M,16,1.6,0.00011,0.00056,0.5625,0.0,0.0,0.2,-0.34,1.89,D = No state conditional edge
XAUUSD,RANGING,5M,18,1.8,-0.00032,0.00174,0.4444,0.1111,0.0,-0.18,-0.36,0.63,D = No state conditional edge
EURUSD,VOLATILITY_EXPANSION,240M,43,4.3,-2e-05,0.00089,0.4419,0.0698,0.0,-0.02,-0.36,0.95,D = No state conditional edge
NAS100,RANGING,15M,24,2.4,-0.00093,0.00344,0.4583,0.4167,0.0833,-0.27,-0.36,0.52,D = No state conditional edge
GBPUSD,VOLATILITY_COMPRESSION,240M,22,2.2,-0.00016,0.00125,0.4091,0.0455,0.0,-0.13,-0.37,0.68,D = No state conditional edge
NAS100,VOLATILITY_EXPANSION,5M,25,2.5,3e-05,0.00073,0.48,0.0,0.0,0.04,-0.37,1.13,D = No state conditional edge
XAUUSD,TRENDING_BEARISH,60M,17,1.7,-0.00131,0.00428,0.4706,0.7059,0.1176,-0.31,-0.38,0.42,D = No state conditional edge
NAS100,TRENDING_BEARISH,5M,25,2.5,-0.00036,0.00174,0.56,0.16,0.0,-0.21,-0.38,0.57,D = No state conditional edge
NAS100,LOW_VOLATILITY,5M,712,71.2,-0.0,0.0008,0.514,0.0028,0.0014,-0.0,-0.38,0.99,D = No state conditional edge
XAUUSD,TRENDING_BULLISH,1M,20,2.0,8e-05,0.00056,0.6,0.0,0.0,0.14,-0.39,1.46,D = No state conditional edge
EURUSD,SESSION_TRANSITION,60M,166,16.6,-5e-05,0.00087,0.4157,0.0422,0.006,-0.06,-0.4,0.84,D = No state conditional edge
XAUUSD,VOLATILITY_COMPRESSION,60M,5,0.5,-0.00064,0.00232,0.4,0.4,0.0,-0.28,-0.41,0.47,D = No state conditional edge
NAS100,RANGING,5M,24,2.4,-0.00051,0.00184,0.375,0.2083,0.0,-0.28,-0.44,0.46,D = No state conditional edge
XAUUSD,LOW_VOLATILITY,5M,735,73.5,-4e-05,0.00075,0.4626,0.0136,0.0,-0.05,-0.45,0.87,D = No state conditional edge
XAUUSD,SESSION_TRANSITION,5M,179,17.9,-0.00013,0.00092,0.4693,0.0335,0.0,-0.14,-0.46,0.69,D = No state conditional edge
NAS100,TRENDING_BULLISH,5M,25,2.5,-0.00019,0.00107,0.48,0.08,0.0,-0.18,-0.46,0.61,D = No state conditional edge
GBPUSD,LOW_VOLATILITY,60M,775,77.5,-1e-05,0.00066,0.4968,0.0181,0.0026,-0.02,-0.47,0.97,D = No state conditional edge
