instrument,feature_name,horizon,sample_count,pearson_r,raw_p_value,fdr_adjusted_p_value,is_fdr_significant,train_ic,val_ic,oos_ic,oos_net_expectancy,classification
NAS100,liq_dist_vwap,15M,499,-0.0924,0.10189,0.70098,False,-0.1257,-0.2126,0.2012,-0.0001,B = Promising but insufficient evidence
EURUSD,mom_ret_15,5M,499,-0.0627,0.24219,0.76735,False,-0.1232,-0.0003,0.1983,-0.00028,B = Promising but insufficient evidence
EURUSD,mom_ret_5,5M,499,0.0222,0.66419,0.94118,False,-0.0079,0.0215,0.1959,-0.00028,B = Promising but insufficient evidence
NAS100,struct_range_pos,4H,499,-0.0295,0.56552,0.91274,False,0.0045,-0.0302,-0.1929,0.00048,B = Promising but insufficient evidence
GBPUSD,vol_realized,15M,499,-0.0412,0.42794,0.86352,False,-0.0147,-0.0505,-0.1907,-0.00026,B = Promising but insufficient evidence
GBPUSD,vol_atr_14,15M,499,0.0003,0.99601,0.99898,False,0.0387,0.0128,-0.1903,-0.00026,B = Promising but insufficient evidence
NAS100,struct_dist_high,5M,499,-0.0707,0.19338,0.7567,False,-0.0773,0.1333,-0.1891,-0.00019,B = Promising but insufficient evidence
NAS100,mom_ret_15,30M,499,-0.0189,0.71024,0.95904,False,-0.0332,-0.1934,0.1885,1e-05,A = Robust predictive edge
NAS100,trend_dev_mean,1H,499,-0.0595,0.26496,0.79972,False,-0.1021,-0.1175,0.1871,0.00011,A = Robust predictive edge
EURUSD,mom_accel,5M,499,-0.0188,0.71127,0.95904,False,0.0255,-0.0752,-0.1856,-0.00028,B = Promising but insufficient evidence
EURUSD,trend_dev_mean,5M,499,-0.0745,0.17336,0.75192,False,-0.1365,-0.0063,0.1841,-0.00028,B = Promising but insufficient evidence
EURUSD,time_hour,5M,499,-0.0312,0.54448,0.91274,False,-0.1038,0.0522,0.1826,-0.00028,B = Promising but insufficient evidence
GBPUSD,liq_dist_vwap,30M,499,0.0313,0.5434,0.91274,False,0.0058,-0.0484,0.1812,-0.00024,B = Promising but insufficient evidence
NAS100,time_hour,1M,499,0.0844,0.12932,0.75192,False,0.0401,0.0989,0.1802,-0.00025,B = Promising but insufficient evidence
NAS100,mom_ret_15,1H,499,-0.0635,0.23707,0.76735,False,-0.0891,-0.1808,0.1786,9e-05,A = Robust predictive edge
NAS100,vol_ratio,15M,499,-0.0029,0.95364,0.99898,False,0.0007,-0.1534,0.1767,-0.00013,B = Promising but insufficient evidence
NAS100,liq_dist_vwap,5M,499,0.0078,0.8776,0.99248,False,0.0429,-0.2374,0.1758,-0.0002,B = Promising but insufficient evidence
XAUUSD,struct_dist_high,4H,499,-0.0756,0.16796,0.75192,False,-0.0563,-0.0118,-0.175,0.00044,B = Promising but insufficient evidence
NAS100,trend_dev_mean,4H,499,-0.071,0.19179,0.7567,False,-0.0436,-0.1091,-0.1727,0.0004,B = Promising but insufficient evidence
GBPUSD,mom_ret_1,1M,499,-0.0512,0.33144,0.81638,False,-0.1496,0.2046,0.1725,-0.00029,B = Promising but insufficient evidence
XAUUSD,vol_atr_14,1H,499,-0.1167,0.04803,0.58713,False,-0.1139,0.0009,-0.1715,6e-05,B = Promising but insufficient evidence
XAUUSD,struct_dist_high,1M,499,0.0709,0.19216,0.7567,False,0.132,0.0505,-0.1708,-0.00026,B = Promising but insufficient evidence
XAUUSD,vol_realized,1H,499,-0.1586,0.01256,0.49824,False,-0.1391,-0.1737,-0.1702,6e-05,B = Promising but insufficient evidence
EURUSD,liq_dist_vwap,30M,499,-0.0629,0.24103,0.76735,False,-0.046,-0.0312,-0.17,-0.00025,B = Promising but insufficient evidence
GBPUSD,trend_dev_mean,30M,499,-0.0057,0.91003,0.99851,False,-0.0367,-0.0649,0.1693,-0.00025,B = Promising but insufficient evidence
NAS100,vol_ratio,30M,499,0.0727,0.18244,0.7567,False,0.0921,-0.0707,0.1689,-3e-05,B = Promising but insufficient evidence
XAUUSD,vol_atr_14,4H,499,-0.0052,0.91891,0.99851,False,0.0595,-0.016,-0.1685,0.00041,B = Promising but insufficient evidence
NAS100,mom_ret_15,15M,499,-0.1212,0.04175,0.58713,False,-0.1527,-0.245,0.1684,-0.00014,B = Promising but insufficient evidence
XAUUSD,vol_atr_14,5M,499,0.0462,0.37705,0.84513,False,-0.029,0.3056,0.168,-0.00022,B = Promising but insufficient evidence
NAS100,mom_ret_15,5M,499,-0.0083,0.86973,0.99174,False,0.0307,-0.2644,0.1667,-0.0002,B = Promising but insufficient evidence
NAS100,trend_ma_slope,4H,499,-0.0753,0.16916,0.75192,False,-0.0498,-0.0729,-0.1662,0.00038,B = Promising but insufficient evidence
EURUSD,mom_ret_1,1H,499,0.1322,0.0294,0.5292,False,0.1439,0.063,0.1646,-0.00023,B = Promising but insufficient evidence
EURUSD,struct_dist_high,1H,499,0.0238,0.64175,0.93762,False,0.0141,-0.0569,0.1634,-0.00023,B = Promising but insufficient evidence
NAS100,vol_atr_14,1M,499,0.043,0.40947,0.86204,False,-0.0007,0.0845,0.1614,-0.00026,B = Promising but insufficient evidence
NAS100,vol_realized,1H,499,0.0292,0.56918,0.91274,False,0.1132,-0.0593,-0.1604,5e-05,B = Promising but insufficient evidence
