instrument,feature_name,horizon,sample_count,pearson_r,raw_p_value,fdr_adjusted_p_value,is_fdr_significant,train_ic,val_ic,oos_ic,oos_net_expectancy,classification
EURUSD,micro_tick_accel,1M,499,0.1019,0.07612,0.93117,False,0.1537,0.0974,-0.2393,-0.00029,B = Promising but insufficient evidence
NAS100,micro_tick_intensity,4H,499,0.1305,0.03101,0.68706,False,0.113,0.0598,0.2372,0.00066,A = Robust predictive edge
GBPUSD,cross_lead_return,5M,499,0.0602,0.25982,0.93962,False,-0.0192,0.1314,0.234,-0.00027,B = Promising but insufficient evidence
NAS100,micro_consec_direction,4H,499,-0.0665,0.21819,0.93962,False,-0.033,-0.0427,-0.2301,0.00063,B = Promising but insufficient evidence
NAS100,cross_momentum_divergence,4H,499,0.0493,0.34856,0.97083,False,0.0708,0.186,-0.2224,0.0006,B = Promising but insufficient evidence
NAS100,micro_tick_accel,5M,499,0.045,0.38947,0.97083,False,0.0802,-0.3026,0.2202,-0.00017,B = Promising but insufficient evidence
GBPUSD,cross_momentum_divergence,5M,499,0.065,0.22734,0.93962,False,0.0047,0.1203,0.2179,-0.00027,B = Promising but insufficient evidence
EURUSD,session_is_ny_open,30M,499,0.072,0.18651,0.93117,False,0.0662,-0.0926,0.2157,-0.00024,B = Promising but insufficient evidence
XAUUSD,micro_tick_accel,5M,499,0.0526,0.31927,0.97083,False,0.0357,0.2412,-0.2092,-0.00021,B = Promising but insufficient evidence
EURUSD,cross_momentum_divergence,4H,499,0.0115,0.82139,0.97083,False,0.0165,0.1463,-0.2076,-0.00014,B = Promising but insufficient evidence
NAS100,micro_spread_expansion,4H,499,0.0445,0.39471,0.97083,False,0.0747,-0.0888,0.2066,0.00054,A = Robust predictive edge
EURUSD,cross_lead_return,4H,499,0.0242,0.63611,0.97083,False,0.037,0.1404,-0.1985,-0.00014,B = Promising but insufficient evidence
NAS100,micro_tick_accel,1M,499,-0.0112,0.8252,0.97083,False,0.0131,0.2423,-0.1978,-0.00025,B = Promising but insufficient evidence
XAUUSD,cross_momentum_divergence,30M,499,0.0611,0.25374,0.93962,False,0.0852,-0.1311,0.1958,-4e-05,B = Promising but insufficient evidence
NAS100,micro_tick_accel,4H,499,0.1268,0.03489,0.70854,False,0.1308,0.03,0.1955,0.00049,A = Robust predictive edge
EURUSD,cross_lead_return,15M,499,-0.0135,0.79003,0.97083,False,0.0042,0.0099,-0.1949,-0.00026,B = Promising but insufficient evidence
EURUSD,cross_momentum_divergence,15M,499,-0.0243,0.63519,0.97083,False,-0.015,0.0216,-0.1929,-0.00026,B = Promising but insufficient evidence
XAUUSD,micro_tick_accel,15M,499,-0.0026,0.95966,0.97266,False,0.03,-0.0167,-0.1871,-0.00013,B = Promising but insufficient evidence
GBPUSD,session_is_ny_open,30M,499,-0.0297,0.5628,0.97083,False,-0.0722,-0.1125,0.1666,-0.00025,B = Promising but insufficient evidence
XAUUSD,session_is_overlap,5M,499,0.0413,0.42776,0.97083,False,-0.0135,0.1618,0.1662,-0.00023,B = Promising but insufficient evidence
EURUSD,micro_consec_direction,30M,499,-0.0339,0.51066,0.97083,False,-0.0051,0.0422,-0.1654,-0.00025,B = Promising but insufficient evidence
GBPUSD,micro_tick_accel,1M,499,-0.0024,0.96208,0.97266,False,-0.0436,0.0194,0.1653,-0.00029,B = Promising but insufficient evidence
EURUSD,cross_momentum_divergence,1H,499,0.0114,0.82288,0.97083,False,0.0447,0.0247,-0.1646,-0.00023,B = Promising but insufficient evidence
EURUSD,session_is_overlap,30M,499,-0.0163,0.74796,0.97083,False,-0.0686,0.0013,0.1619,-0.00025,B = Promising but insufficient evidence
NAS100,cross_asset_correlation,4H,499,-0.0543,0.30501,0.97083,False,-0.089,0.1581,-0.1607,0.00035,B = Promising but insufficient evidence
EURUSD,cross_lead_return,30M,499,0.0097,0.84784,0.97083,False,0.0311,0.0586,-0.1587,-0.00026,B = Promising but insufficient evidence
NAS100,micro_spread_expansion,30M,499,0.0418,0.4223,0.97083,False,0.0851,-0.1334,0.1574,-4e-05,B = Promising but insufficient evidence
EURUSD,cross_momentum_divergence,30M,499,0.0046,0.92698,0.97266,False,0.0176,0.079,-0.157,-0.00026,B = Promising but insufficient evidence
EURUSD,cross_asset_correlation,30M,499,0.0927,0.10075,0.93117,False,0.0722,0.108,0.1562,-0.00026,B = Promising but insufficient evidence
XAUUSD,micro_consec_direction,15M,499,-0.0467,0.37278,0.97083,False,-0.0455,0.0473,-0.1549,-0.00016,B = Promising but insufficient evidence
XAUUSD,cross_momentum_divergence,5M,499,0.1303,0.03123,0.68706,False,0.1994,-0.1407,0.1536,-0.00023,B = Promising but insufficient evidence
NAS100,micro_spread_expansion,15M,499,-0.0272,0.59581,0.97083,False,-0.0118,-0.1719,0.1522,-0.00015,B = Promising but insufficient evidence
XAUUSD,micro_spread_expansion,5M,499,0.0283,0.58095,0.97083,False,0.01,0.2283,-0.1521,-0.00023,B = Promising but insufficient evidence
XAUUSD,micro_tick_accel,1H,499,-0.0158,0.75659,0.97083,False,0.0846,-0.2189,-0.1511,2e-05,B = Promising but insufficient evidence
EURUSD,cross_lead_return,1H,499,0.0196,0.70102,0.97083,False,0.0554,0.0225,-0.1495,-0.00024,B = Promising but insufficient evidence
GBPUSD,micro_price_impact,1M,499,0.0033,0.94865,0.97266,False,0.0451,-0.0408,-0.1489,-0.00029,B = Promising but insufficient evidence
NAS100,micro_spread_expansion,1H,499,0.0605,0.25807,0.93962,False,0.1151,-0.0806,0.1482,3e-05,A = Robust predictive edge
XAUUSD,micro_spread_expansion,15M,499,-0.0283,0.58138,0.97083,False,0.0082,-0.0545,-0.1462,-0.00017,B = Promising but insufficient evidence
NAS100,micro_spread_expansion,5M,499,0.0407,0.43356,0.97083,False,0.1055,-0.1369,0.1418,-0.00022,B = Promising but insufficient evidence
EURUSD,session_is_overlap,1M,499,0.0239,0.63988,0.97083,False,0.0759,-0.09,-0.1414,-0.00029,B = Promising but insufficient evidence
XAUUSD,micro_tick_intensity,5M,499,0.0724,0.18437,0.93117,False,0.0643,0.216,-0.1407,-0.00024,B = Promising but insufficient evidence
XAUUSD,micro_tick_intensity,15M,499,0.0075,0.88261,0.97083,False,0.044,-0.0262,-0.1406,-0.00018,B = Promising but insufficient evidence
XAUUSD,session_is_london_open,15M,499,-0.0059,0.90654,0.97266,False,-0.0403,-0.0008,0.1369,-0.00018,B = Promising but insufficient evidence
XAUUSD,micro_tick_accel,1M,499,-0.028,0.58444,0.97083,False,-0.0565,0.1158,-0.1357,-0.00027,B = Promising but insufficient evidence
XAUUSD,cross_momentum_divergence,1H,499,0.1705,0.00852,0.39805,False,0.1365,0.2891,0.1351,-1e-05,B = Promising but insufficient evidence
NAS100,cross_lead_return,1H,499,-0.0224,0.6605,0.97083,False,0.0111,0.0064,-0.1344,-0.0,B = Promising but insufficient evidence
XAUUSD,session_is_overlap,1M,499,0.0246,0.63057,0.97083,False,0.0177,-0.0585,0.134,-0.00027,B = Promising but insufficient evidence
GBPUSD,cross_lead_return,15M,499,-0.003,0.95201,0.97266,False,-0.0387,0.0395,0.1334,-0.00027,B = Promising but insufficient evidence
EURUSD,session_is_ny_open,1M,499,0.0029,0.95357,0.97266,False,0.0915,-0.3362,-0.1301,-0.00029,B = Promising but insufficient evidence
EURUSD,micro_consec_direction,4H,499,0.0279,0.58646,0.97083,False,0.1076,-0.0326,-0.1283,-0.0002,B = Promising but insufficient evidence
XAUUSD,micro_spread_expansion,1M,499,-0.0625,0.2437,0.93962,False,-0.1013,0.1,-0.1257,-0.00027,B = Promising but insufficient evidence
NAS100,session_is_ny_open,5M,499,-0.0428,0.41178,0.97083,False,0.01,-0.1329,-0.1256,-0.00023,B = Promising but insufficient evidence
EURUSD,cross_asset_correlation,5M,499,0.0603,0.25921,0.93962,False,0.0817,-0.0505,0.1231,-0.00029,B = Promising but insufficient evidence
GBPUSD,micro_consec_direction,1M,499,0.0554,0.29589,0.97083,False,0.0557,-0.0075,0.1229,-0.00029,B = Promising but insufficient evidence
XAUUSD,session_is_london_open,30M,499,0.0453,0.38669,0.97083,False,0.0514,-0.0427,0.1228,-0.00013,B = Promising but insufficient evidence
XAUUSD,session_is_london_open,1M,499,0.0629,0.24093,0.93962,False,0.0732,-0.0293,0.1219,-0.00027,B = Promising but insufficient evidence
XAUUSD,micro_price_impact,1M,499,-0.0708,0.19304,0.93117,False,-0.1239,0.2025,-0.1189,-0.00027,B = Promising but insufficient evidence
EURUSD,session_is_london_open,1M,499,-0.0123,0.80796,0.97083,False,-0.012,0.0702,-0.1187,-0.00029,B = Promising but insufficient evidence
EURUSD,micro_consec_direction,1H,499,-0.034,0.51007,0.97083,False,-0.01,-0.0003,-0.1167,-0.00025,B = Promising but insufficient evidence
XAUUSD,session_is_london_open,1H,499,0.0285,0.57823,0.97083,False,0.021,-0.0349,0.1162,-5e-05,B = Promising but insufficient evidence
GBPUSD,cross_momentum_divergence,15M,499,0.0078,0.87695,0.97083,False,-0.0162,0.0357,0.116,-0.00027,B = Promising but insufficient evidence
EURUSD,micro_spread_expansion,1H,499,0.046,0.37908,0.97083,False,0.0761,0.1146,-0.1138,-0.00025,B = Promising but insufficient evidence
GBPUSD,micro_consec_direction,1H,499,-0.0426,0.41367,0.97083,False,-0.0093,-0.0682,-0.1135,-0.00025,B = Promising but insufficient evidence
GBPUSD,session_is_london_open,5M,499,0.0194,0.70264,0.97083,False,0.0679,-0.1034,0.1128,-0.00029,B = Promising but insufficient evidence
XAUUSD,cross_asset_correlation,1M,499,0.005,0.9214,0.97266,False,-0.0188,-0.0203,0.1126,-0.00027,B = Promising but insufficient evidence
EURUSD,session_is_london_open,4H,499,-0.0045,0.92904,0.97266,False,0.0365,-0.2527,0.1114,-0.00021,B = Promising but insufficient evidence
GBPUSD,micro_tick_intensity,15M,499,-0.0205,0.68698,0.97083,False,0.0072,-0.0616,-0.1099,-0.00028,B = Promising but insufficient evidence
XAUUSD,cross_lead_return,5M,499,0.0857,0.12467,0.93117,False,0.1557,-0.0552,-0.1096,-0.00025,B = Promising but insufficient evidence
XAUUSD,cross_momentum_divergence,15M,499,0.0967,0.08927,0.93117,False,0.1341,-0.0596,0.1078,-0.0002,B = Promising but insufficient evidence
GBPUSD,session_is_london_open,1M,499,0.0603,0.25908,0.93962,False,0.0911,-0.1389,0.1078,-0.00029,B = Promising but insufficient evidence
NAS100,session_is_london_open,1H,499,-0.0488,0.35332,0.97083,False,-0.0643,0.0745,-0.1076,-6e-05,B = Promising but insufficient evidence
EURUSD,micro_spread_expansion,30M,499,0.0082,0.87107,0.97083,False,0.0291,0.0505,-0.1067,-0.00027,B = Promising but insufficient evidence
GBPUSD,micro_tick_intensity,1M,499,-0.205,0.0027,0.26312,False,-0.3012,-0.0679,0.1067,-0.00029,B = Promising but insufficient evidence
NAS100,micro_tick_intensity,1M,499,0.0088,0.86195,0.97083,False,-0.0105,0.2265,-0.1051,-0.00027,B = Promising but insufficient evidence
EURUSD,micro_consec_direction,1M,499,-0.0081,0.87231,0.97083,False,0.0253,-0.0882,-0.1034,-0.0003,B = Promising but insufficient evidence
XAUUSD,micro_spread_expansion,1H,499,-0.006,0.90541,0.97266,False,0.0851,-0.1638,-0.1032,-8e-05,B = Promising but insufficient evidence
EURUSD,session_is_ny_open,5M,499,-0.0869,0.11998,0.93117,False,-0.0601,-0.3359,0.1021,-0.00029,B = Promising but insufficient evidence
EURUSD,session_is_overlap,5M,499,-0.074,0.17569,0.93117,False,-0.0279,-0.2283,-0.1014,-0.00029,B = Promising but insufficient evidence
NAS100,session_is_london_open,15M,499,-0.0237,0.64329,0.97083,False,-0.0072,0.0042,-0.1003,-0.0002,B = Promising but insufficient evidence
EURUSD,micro_consec_direction,15M,499,-0.0157,0.75725,0.97083,False,0.0149,-0.0381,-0.0995,-0.00028,B = Promising but insufficient evidence
NAS100,micro_price_impact,5M,499,0.0368,0.47741,0.97083,False,0.0667,-0.0408,0.0988,-0.00024,B = Promising but insufficient evidence
EURUSD,micro_tick_intensity,30M,499,0.0128,0.80051,0.97083,False,0.0264,0.0934,-0.0981,-0.00027,B = Promising but insufficient evidence
XAUUSD,session_is_overlap,1H,499,-0.081,0.14322,0.93117,False,-0.0722,-0.0953,-0.0972,-9e-05,B = Promising but insufficient evidence
GBPUSD,session_is_ny_open,5M,499,0.0905,0.10767,0.93117,False,0.0483,0.2573,-0.097,-0.00029,B = Promising but insufficient evidence
EURUSD,cross_momentum_divergence,1M,499,-0.0165,0.74557,0.97083,False,-0.0114,-0.097,0.096,-0.0003,B = Promising but insufficient evidence
EURUSD,micro_tick_intensity,1M,499,0.1593,0.01227,0.39805,False,0.2105,0.1013,-0.0933,-0.0003,B = Promising but insufficient evidence
GBPUSD,session_is_overlap,15M,499,-0.0803,0.14619,0.93117,False,-0.0687,-0.2412,0.0932,-0.00028,B = Promising but insufficient evidence
XAUUSD,session_is_ny_open,1M,499,-0.0051,0.92043,0.97266,False,-0.0047,0.0786,-0.0926,-0.00028,B = Promising but insufficient evidence
EURUSD,session_is_overlap,1H,499,-0.0146,0.77328,0.97083,False,-0.0653,0.0671,0.092,-0.00026,B = Promising but insufficient evidence
GBPUSD,micro_tick_accel,15M,499,0.0196,0.70039,0.97083,False,0.0761,-0.0514,-0.092,-0.00028,B = Promising but insufficient evidence
EURUSD,cross_momentum_divergence,5M,499,-0.0281,0.58403,0.97083,False,-0.056,-0.016,0.0918,-0.00029,B = Promising but insufficient evidence
XAUUSD,cross_lead_return,4H,499,0.0726,0.18304,0.93117,False,0.0596,0.0927,0.0916,9e-05,A = Robust predictive edge
GBPUSD,session_is_london_open,1H,499,0.0436,0.40289,0.97083,False,0.1061,-0.2299,0.0911,-0.00026,B = Promising but insufficient evidence
GBPUSD,micro_consec_direction,15M,499,0.0231,0.65122,0.97083,False,0.0447,0.0707,-0.0901,-0.00028,B = Promising but insufficient evidence
XAUUSD,session_is_ny_open,15M,499,-0.07,0.1972,0.93117,False,-0.0726,-0.0459,-0.089,-0.00022,B = Promising but insufficient evidence
XAUUSD,micro_consec_direction,1M,499,-0.0819,0.13938,0.93117,False,-0.0793,-0.0888,-0.0834,-0.00028,B = Promising but insufficient evidence
EURUSD,micro_price_impact,15M,499,-0.0155,0.76054,0.97083,False,0.0071,-0.0724,-0.0831,-0.00028,B = Promising but insufficient evidence
NAS100,cross_asset_correlation,30M,499,-0.0293,0.56765,0.97083,False,-0.072,-0.0757,0.083,-0.00017,B = Promising but insufficient evidence
GBPUSD,cross_lead_return,1M,499,-0.0096,0.84907,0.97083,False,-0.0512,0.0873,0.0817,-0.00029,B = Promising but insufficient evidence
XAUUSD,micro_consec_direction,4H,499,-0.0177,0.72841,0.97083,False,-0.0808,0.0935,0.081,4e-05,A = Robust predictive edge
EURUSD,session_is_ny_open,15M,499,0.0031,0.95082,0.97266,False,0.021,-0.1587,0.0795,-0.00029,B = Promising but insufficient evidence
NAS100,micro_consec_direction,5M,499,-0.0103,0.83971,0.97083,False,0.0081,-0.1704,0.0794,-0.00025,B = Promising but insufficient evidence
XAUUSD,micro_price_impact,5M,499,-0.0266,0.60309,0.97083,False,-0.0419,0.0985,-0.0791,-0.00026,B = Promising but insufficient evidence
GBPUSD,micro_tick_accel,5M,499,-0.0176,0.72951,0.97083,False,-0.0528,0.0043,0.079,-0.00029,B = Promising but insufficient evidence
GBPUSD,cross_lead_return,30M,499,0.0228,0.65541,0.97083,False,-0.0223,0.1565,0.0788,-0.00028,B = Promising but insufficient evidence
EURUSD,micro_tick_intensity,1H,499,0.0597,0.26343,0.9398,False,0.0947,0.0728,-0.0781,-0.00027,B = Promising but insufficient evidence
GBPUSD,cross_asset_correlation,1H,499,-0.01,0.8442,0.97083,False,-0.0249,-0.0368,0.0776,-0.00027,B = Promising but insufficient evidence
EURUSD,micro_spread_expansion,15M,499,0.0398,0.44335,0.97083,False,0.057,0.0601,-0.0768,-0.00029,B = Promising but insufficient evidence
NAS100,cross_lead_return,1M,499,0.0141,0.78165,0.97083,False,0.0103,-0.0576,0.0757,-0.00028,B = Promising but insufficient evidence
EURUSD,cross_lead_return,1M,499,0.0208,0.68352,0.97083,False,0.0497,-0.1236,0.0747,-0.0003,B = Promising but insufficient evidence
EURUSD,cross_asset_correlation,4H,499,-0.076,0.16599,0.93117,False,-0.1089,0.0088,-0.0738,-0.00024,B = Promising but insufficient evidence
XAUUSD,micro_price_impact,30M,499,-0.0307,0.55022,0.97083,False,-0.0275,-0.1554,0.0734,-0.0002,B = Promising but insufficient evidence
XAUUSD,session_is_london_open,4H,499,-0.0419,0.42065,0.97083,False,-0.0104,-0.1355,-0.0729,1e-05,B = Promising but insufficient evidence
NAS100,session_is_overlap,1H,499,0.0705,0.19438,0.93117,False,0.0455,0.1522,0.0726,-0.00014,B = Promising but insufficient evidence
EURUSD,cross_lead_return,5M,499,-0.0103,0.83953,0.97083,False,-0.0261,-0.0155,0.072,-0.00029,B = Promising but insufficient evidence
NAS100,session_is_ny_open,1H,499,0.0575,0.27968,0.97083,False,0.0987,-0.0994,0.0718,-0.00014,B = Promising but insufficient evidence
GBPUSD,micro_price_impact,15M,499,0.0555,0.29514,0.97083,False,0.1285,-0.0843,0.0703,-0.00028,B = Promising but insufficient evidence
XAUUSD,micro_tick_accel,30M,499,0.0181,0.7218,0.97083,False,0.0432,-0.0216,-0.0701,-0.00021,B = Promising but insufficient evidence
GBPUSD,session_is_london_open,4H,499,0.0098,0.84622,0.97083,False,0.0516,-0.1918,0.0693,-0.00024,B = Promising but insufficient evidence
NAS100,micro_consec_direction,1M,499,0.0287,0.57647,0.97083,False,0.073,-0.1731,0.0686,-0.00028,B = Promising but insufficient evidence
GBPUSD,micro_spread_expansion,30M,499,0.0221,0.66458,0.97083,False,0.0985,-0.1162,-0.0672,-0.00028,B = Promising but insufficient evidence
XAUUSD,cross_lead_return,1M,499,0.0634,0.23774,0.93962,False,0.0844,-0.0018,0.067,-0.00028,B = Promising but insufficient evidence
EURUSD,micro_tick_accel,5M,499,-0.0482,0.3585,0.97083,False,-0.0261,-0.141,-0.067,-0.00029,B = Promising but insufficient evidence
GBPUSD,micro_tick_intensity,4H,499,0.0289,0.57276,0.97083,False,-0.0241,0.2268,0.0667,-0.00024,B = Promising but insufficient evidence
GBPUSD,session_is_ny_open,15M,499,-0.0129,0.80013,0.97083,False,-0.0182,0.0446,-0.0662,-0.00029,B = Promising but insufficient evidence
GBPUSD,session_is_overlap,4H,499,-0.0656,0.22355,0.93962,False,-0.0502,-0.1104,-0.0662,-0.00024,B = Promising but insufficient evidence
GBPUSD,cross_asset_correlation,4H,499,-0.0082,0.8707,0.97083,False,0.0446,-0.1144,-0.0661,-0.00024,B = Promising but insufficient evidence
GBPUSD,micro_tick_intensity,30M,499,0.0034,0.94592,0.97266,False,0.0345,-0.0494,-0.0654,-0.00028,B = Promising but insufficient evidence
GBPUSD,micro_tick_intensity,1H,499,-0.043,0.40928,0.97083,False,-0.0371,-0.0508,-0.0643,-0.00027,B = Promising but insufficient evidence
EURUSD,session_is_overlap,4H,499,-0.0706,0.1939,0.93117,False,-0.0731,-0.0715,-0.0636,-0.00025,B = Promising but insufficient evidence
NAS100,cross_asset_correlation,5M,499,0.0152,0.76444,0.97083,False,-0.0019,0.0156,0.0631,-0.00026,B = Promising but insufficient evidence
EURUSD,micro_tick_accel,1H,499,0.0255,0.61765,0.97083,False,0.0436,0.0473,-0.063,-0.00027,B = Promising but insufficient evidence
GBPUSD,micro_consec_direction,30M,499,-0.0081,0.87226,0.97083,False,0.0468,-0.1077,-0.063,-0.00028,B = Promising but insufficient evidence
XAUUSD,micro_price_impact,4H,499,0.0354,0.49369,0.97083,False,0.0501,-0.0644,0.0625,-4e-05,B = Promising but insufficient evidence
GBPUSD,session_is_overlap,1H,499,-0.0931,0.09971,0.93117,False,-0.1067,-0.1872,0.0616,-0.00027,B = Promising but insufficient evidence
NAS100,session_is_london_open,4H,499,-0.0075,0.88199,0.97083,False,-0.0003,0.0235,-0.0612,-5e-05,B = Promising but insufficient evidence
XAUUSD,session_is_ny_open,5M,499,0.0672,0.21396,0.93962,False,0.0584,0.21,-0.0605,-0.00027,B = Promising but insufficient evidence
XAUUSD,micro_consec_direction,30M,499,-0.0118,0.81605,0.97083,False,-0.0433,0.1467,-0.06,-0.00022,B = Promising but insufficient evidence
XAUUSD,cross_asset_correlation,15M,499,0.013,0.7978,0.97083,False,-0.01,0.163,-0.0598,-0.00025,B = Promising but insufficient evidence
EURUSD,cross_asset_correlation,15M,499,0.0874,0.11854,0.93117,False,0.1036,0.0531,0.0595,-0.00029,B = Promising but insufficient evidence
GBPUSD,session_is_overlap,5M,499,-0.0648,0.22874,0.93962,False,-0.0369,-0.1217,-0.0581,-0.00029,B = Promising but insufficient evidence
NAS100,cross_lead_return,30M,499,-0.0112,0.82554,0.97083,False,0.0016,0.0356,-0.0575,-0.00021,B = Promising but insufficient evidence
GBPUSD,cross_asset_correlation,1M,499,-0.0152,0.76457,0.97083,False,-0.032,0.1081,-0.0568,-0.0003,B = Promising but insufficient evidence
GBPUSD,cross_asset_correlation,5M,499,-0.0253,0.6208,0.97083,False,-0.0825,0.022,0.0554,-0.00029,B = Promising but insufficient evidence
GBPUSD,micro_consec_direction,5M,499,0.07,0.19752,0.93117,False,0.0532,0.1701,-0.0552,-0.00029,B = Promising but insufficient evidence
GBPUSD,session_is_overlap,1M,499,-0.0713,0.18999,0.93117,False,-0.1015,0.0288,-0.0551,-0.0003,B = Promising but insufficient evidence
NAS100,cross_asset_correlation,15M,499,-0.0308,0.54978,0.97083,False,-0.0474,-0.0882,0.0537,-0.00025,B = Promising but insufficient evidence
NAS100,cross_asset_correlation,1M,499,-0.0633,0.23834,0.93962,False,-0.0622,-0.0863,-0.0533,-0.00029,B = Promising but insufficient evidence
NAS100,micro_price_impact,30M,499,0.0066,0.89596,0.97266,False,0.0679,-0.1148,0.0531,-0.00021,B = Promising but insufficient evidence
NAS100,session_is_overlap,1M,499,-0.0444,0.39564,0.97083,False,-0.1116,0.1849,-0.052,-0.00029,B = Promising but insufficient evidence
EURUSD,session_is_ny_open,4H,499,0.0386,0.45657,0.97083,False,0.0821,-0.0207,-0.0519,-0.00026,B = Promising but insufficient evidence
XAUUSD,cross_momentum_divergence,1M,499,0.0354,0.49285,0.97083,False,0.1018,-0.1872,0.0516,-0.00029,B = Promising but insufficient evidence
NAS100,session_is_ny_open,1M,499,-0.0755,0.16824,0.93117,False,-0.1449,0.1164,-0.0508,-0.00029,B = Promising but insufficient evidence
XAUUSD,cross_lead_return,15M,499,0.0932,0.09941,0.93117,False,0.1234,0.008,0.05,-0.00026,B = Promising but insufficient evidence
XAUUSD,micro_tick_intensity,4H,499,0.0908,0.10696,0.93117,False,0.1691,-0.1571,0.0492,-9e-05,B = Promising but insufficient evidence
NAS100,session_is_london_open,30M,499,-0.0165,0.74547,0.97083,False,-0.0113,0.0161,-0.0491,-0.00022,B = Promising but insufficient evidence
XAUUSD,micro_tick_intensity,1M,499,0.0569,0.28477,0.97083,False,0.0715,0.0707,-0.0486,-0.00029,B = Promising but insufficient evidence
EURUSD,micro_price_impact,1M,499,-0.0096,0.84956,0.97083,False,-0.0129,0.0217,-0.0485,-0.0003,B = Promising but insufficient evidence
EURUSD,micro_tick_intensity,5M,499,0.0538,0.30932,0.97083,False,0.0758,0.0394,-0.0477,-0.0003,B = Promising but insufficient evidence
NAS100,micro_price_impact,1H,499,-0.0207,0.68485,0.97083,False,0.0304,-0.0735,-0.0477,-0.00019,B = Promising but insufficient evidence
XAUUSD,micro_spread_expansion,4H,499,0.0751,0.17042,0.93117,False,0.1472,-0.1354,0.0474,-0.0001,B = Promising but insufficient evidence
XAUUSD,session_is_ny_open,4H,499,-0.008,0.87444,0.97083,False,-0.0158,0.0678,-0.0467,-0.0001,B = Promising but insufficient evidence
GBPUSD,micro_tick_accel,30M,499,-0.0123,0.80898,0.97083,False,0.0259,-0.1164,-0.0466,-0.00029,B = Promising but insufficient evidence
XAUUSD,session_is_london_open,5M,499,-0.0138,0.78602,0.97083,False,-0.0111,-0.0735,0.0459,-0.00028,B = Promising but insufficient evidence
EURUSD,session_is_ny_open,1H,499,0.0203,0.69064,0.97083,False,0.0382,-0.0948,0.0454,-0.00028,B = Promising but insufficient evidence
XAUUSD,micro_price_impact,1H,499,-0.0292,0.56926,0.97083,False,-0.0197,-0.0343,-0.0452,-0.0002,B = Promising but insufficient evidence
XAUUSD,cross_asset_correlation,4H,499,0.0178,0.72596,0.97083,False,-0.0063,0.1782,-0.0452,-0.00011,B = Promising but insufficient evidence
EURUSD,session_is_overlap,15M,499,-0.0519,0.32497,0.97083,False,-0.056,-0.1305,0.0451,-0.00029,B = Promising but insufficient evidence
GBPUSD,session_is_overlap,30M,499,-0.0971,0.0881,0.93117,False,-0.1118,-0.1985,0.0449,-0.00029,B = Promising but insufficient evidence
GBPUSD,micro_tick_accel,1H,499,-0.002,0.96774,0.97266,False,0.0301,-0.0722,-0.0447,-0.00028,B = Promising but insufficient evidence
GBPUSD,micro_spread_expansion,5M,499,-0.0421,0.41855,0.97083,False,-0.0894,-0.0119,0.0439,-0.00029,B = Promising but insufficient evidence
XAUUSD,micro_tick_intensity,1H,499,0.0244,0.63344,0.97083,False,0.1204,-0.2262,-0.0438,-0.00021,B = Promising but insufficient evidence
GBPUSD,cross_asset_correlation,30M,499,-0.0514,0.3294,0.97083,False,-0.1002,-0.0017,0.0435,-0.00029,B = Promising but insufficient evidence
