instrument,feature_name,horizon,sample_count,pearson_r,raw_p_value,fdr_adjusted_p_value,is_fdr_significant,train_ic,val_ic,oos_ic,oos_net_expectancy,classification
NAS100,cross_momentum_divergence,30M,499,0.0135,0.78998,0.97083,False,0.0965,0.2056,-0.3975,0.00035,B = Promising but insufficient evidence
NAS100,cross_lead_return,4H,499,-0.0489,0.35163,0.97083,False,-0.0022,0.1681,-0.3902,0.00128,B = Promising but insufficient evidence
NAS100,micro_tick_intensity,15M,499,-0.0086,0.86557,0.97083,False,-0.0485,-0.3942,0.3536,4e-05,A = Robust predictive edge
NAS100,micro_tick_accel,15M,499,-0.0072,0.88625,0.97083,False,-0.056,-0.3844,0.3361,3e-05,A = Robust predictive edge
NAS100,micro_tick_accel,30M,499,0.1562,0.01357,0.39805,False,0.0864,-0.0147,0.335,0.00024,A = Robust predictive edge
NAS100,micro_tick_intensity,30M,499,0.1617,0.01136,0.39805,False,0.1068,0.0051,0.3247,0.00023,A = Robust predictive edge
NAS100,cross_momentum_divergence,1H,499,0.0299,0.56074,0.97083,False,0.0956,0.1146,-0.3197,0.00041,B = Promising but insufficient evidence
XAUUSD,cross_lead_return,30M,499,0.0924,0.10193,0.93117,False,0.0833,-0.05,0.3171,0.00013,A = Robust predictive edge
NAS100,cross_momentum_divergence,5M,499,0.0147,0.77291,0.97083,False,0.0396,0.1987,-0.3133,-0.00011,B = Promising but insufficient evidence
NAS100,micro_tick_intensity,1H,499,0.1678,0.0093,0.39805,False,0.1289,0.0835,0.3124,0.00039,A = Robust predictive edge
NAS100,micro_tick_accel,1H,499,0.1639,0.01055,0.39805,False,0.1262,0.065,0.3032,0.00037,A = Robust predictive edge
XAUUSD,micro_consec_direction,5M,499,-0.0983,0.08494,0.93117,False,-0.0703,-0.0572,-0.2801,-0.00017,B = Promising but insufficient evidence
NAS100,cross_momentum_divergence,15M,499,0.075,0.17089,0.93117,False,0.1209,0.2034,-0.2559,-5e-05,B = Promising but insufficient evidence
NAS100,micro_tick_intensity,5M,499,0.0406,0.43484,0.97083,False,0.0794,-0.3268,0.2518,-0.00015,B = Promising but insufficient evidence
XAUUSD,cross_lead_return,1H,499,0.2238,0.00144,0.26312,False,0.1429,0.449,0.2413,0.00021,A = Robust predictive edge
